{{dist=-1, rng=-1}
{dist=319.19685368925, rng=16190}
{dist=319.19685368925, rng=16098}
{dist=319.19685368925, rng=15967}
{dist=319.19685368925, rng=16298}
{dist=319.19685368925, rng=16775}
{dist=319.19685368925, rng=16580}
{dist=319.19685368925, rng=16890}
{dist=319.19685368925, rng=17090}
{dist=319.19685368925, rng=15806}
{dist=319.19685368925, rng=15606}
{dist=319.19685368925, rng=15321}
{dist=319.19685368925, rng=15316}
{dist=319.19685368925, rng=15619}
{dist=319.19685368925, rng=15360}
{dist=319.19685368925, rng=15489}
{dist=319.19685368925, rng=15431}
{dist=319.19685368925, rng=15539}
{dist=319.19685368925, rng=15222}
{dist=319.19685368925, rng=17573}
{dist=319.19685368925, rng=17698}
{dist=319.19685368925, rng=19141}
{dist=319.19685368925, rng=19002}
{dist=319.19685368925, rng=18866}
{dist=319.19685368925, rng=19382}
{dist=319.19685368925, rng=19401}
{dist=319.19685368925, rng=19395}
{dist=319.19685368925, rng=19593}
{dist=319.19685368925, rng=17590}
{dist=319.19685368925, rng=18766}
{dist=319.19685368925, rng=18495}
{dist=319.19685368925, rng=17792}
{dist=319.19685368925, rng=17744}
{dist=319.19685368925, rng=18641}
{dist=319.19685368925, rng=17864}
{dist=319.19685368925, rng=18210}
{dist=319.19685368925, rng=17993}
{dist=319.19685368925, rng=18358}
{dist=319.19685368925, rng=19731}
{dist=319.19685368925, rng=15103}
{dist=319.19685368925, rng=14955}
{dist=319.19685368925, rng=11658}
{dist=319.19685368925, rng=11553}
{dist=319.19685368925, rng=11495}
{dist=319.19685368925, rng=11883}
{dist=319.19685368925, rng=11977}
{dist=319.19685368925, rng=11923}
{dist=319.19685368925, rng=12193}
{dist=319.19685368925, rng=12393}
{dist=319.19685368925, rng=11494}
{dist=319.19685368925, rng=11362}
{dist=319.19685368925, rng=10287}
{dist=319.19685368925, rng=10191}
{dist=319.19685368925, rng=11379}
{dist=319.19685368925, rng=10446}
{dist=319.19685368925, rng=11149}
{dist=319.19685368925, rng=11055}
{dist=319.19685368925, rng=11232}
{dist=319.19685368925, rng=15053}
{dist=319.19685368925, rng=12418}
{dist=319.19685368925, rng=12639}
{dist=319.19685368925, rng=14016}
{dist=319.19685368925, rng=13912}
{dist=319.19685368925, rng=13880}
{dist=319.19685368925, rng=14110}
{dist=319.19685368925, rng=14218}
{dist=319.19685368925, rng=14133}
{dist=319.19685368925, rng=14775}
{dist=319.19685368925, rng=12470}
{dist=319.19685368925, rng=13711}
{dist=319.19685368925, rng=13473}
{dist=319.19685368925, rng=12783}
{dist=319.19685368925, rng=12688}
{dist=319.19685368925, rng=13524}
{dist=319.19685368925, rng=12834}
{dist=319.19685368925, rng=13388}
{dist=319.19685368925, rng=12950}
{dist=319.19685368925, rng=9877}
{dist=319.19685368925, rng=19946}
{dist=319.19685368925, rng=20519}
{dist=319.19685368925, rng=28856}
{dist=319.19685368925, rng=28708}
{dist=319.19685368925, rng=28292}
{dist=319.19685368925, rng=28938}
{dist=319.19685368925, rng=29031}
{dist=319.19685368925, rng=28946}
{dist=319.19685368925, rng=29437}
{dist=319.19685368925, rng=29853}
{dist=319.19685368925, rng=27932}
{dist=319.19685368925, rng=27881}
{dist=319.19685368925, rng=27169}
{dist=319.19685368925, rng=27061}
{dist=319.19685368925, rng=27911}
{dist=319.19685368925, rng=27382}
{dist=319.19685368925, rng=27491}
{dist=319.19685368925, rng=27423}
{dist=319.19685368925, rng=27580}
{dist=319.19685368925, rng=27052}
{dist=319.19685368925, rng=29965}
{dist=319.19685368925, rng=30286}
{dist=319.19685368925, rng=32060}
